Ticker
AAPL
MSFT
NVDA
AVGO
TSM
ORCL
SAP
ASML
CRM
PLTR
CSCO
IBM
ACN
NOW
INTU
AMD
UBER
QCOM
ADBE
SONY
TXN
ADP
FI
AMAT
PANW
ARM
SHOP
CRWD
ANET
KLAC
ADI
LRCX
INTC
APP
MSTR
APH
MU
FTNT
CDNS
MSI
INFY
SNPS
WDAY
ROP
DELL
ADSK
TEAM
PAYX
SNOW
FICO
MRVL
NXPI
TEL
NET
FIS
GRMN
GLW
CTSH
XYZ
DDOG
ZS
IT
WIT
HUBS
BR
NOK
ANSS
MPWR
ERIC
TYL
GDDY
CHKP
TTD
VRSN
KEYS
GIB
HPQ
FTV
ZM
TDY
CPAY
IOT
MCHP
TOST
CDW
SMCI
HPE
UI
SSNC
CRWV
GFS
STM
ASX
LDOS
PTC
OKTA
UMC
NTAP
NTNX
CYBR
GRAB
KSPI
GWRE
DOCU
STX
FFIV
GEN
ON
DUOL
TRMB
JBL
FSLR
PSTG
TWLO
BSY
AFRM
DT
MDB
MNDY
JKHY
WDC
PAYC
FLEX
TER
RBRK
ZBRA
JNPR
AKAM
LOGI
ENTG
YMM
AUR
PCTY
TTAN
MANH
NICE
ALAB
SAIL
DOX
CACI
CLS
SWKS
PCOR
WIX
DAY
COHR
DSGX
SNX
EPAM
CIEN
G
ESTC
DBX
APPF
U
EXLS
MTSI
ASTS
KVYO
CFLT
GTLB
KD
ENPH
SRAD
FOUR
FN
PSN
CVLT
CRDO
OTEX
SATS
VERX
PEGA
LSCC
QXO
IONQ
ONTO
NXT
CWAN
PATH
CCCS
S
SAIC
OLED
ACIW
BMI
QRVO
NVMI
INFA
ARW
IDCC
RMBS
SPSC
WEX
SNDK
GLOB
OS
VRNS
ITRI
QTWO
CRUS
CLBT
QLYS
LYFT
VNT
MKSI
BOX
BILL
INTA
NSIT
AMKR
EEFT
SANM
NOVT
RELY
CGNX
GDS
AVT
TENB
TSEM
ESE
GRND
WK
FRSH
LFUS
BDC
PAY
INGM
LITE
ASAN
YOU
FROG
ALGM
VRRM
PLXS
STNE
SOUN
OSIS
SITM
SWI
CNXC
KC
BRZE
BL
AVPT
SLAB
BLKB
WNS
ST
LPL
DGNX
ZETA
NCNO
LIF
ZI
CAMT
WRD
ALIT
DXC
AI
DOCN
POWI
ASGN
PAGS
ALRM
ALKT
DLO
PRGS
RGTI
