Variable,VIF
roa,2.639920598167623
current_ratio,1.172798465647261
debt_assets,1.078039483907729
asset_turnover,1.465627490330425
revenue_growth,1.0483362476821805
r_and_d_ratio,1.279913686191221
capex_ratio,1.1463327584164071
ocf_margin,2.3654795954668826
log_total_assets,1.865606013940392
