Ticker,Year,Revenue,Net_income,Total_assets,Current_ratio,Debt_assets,Asset_turnover,Roa,Revenue_growth,R_and_d_ratio,Capex_ratio,Net_income_margin,Ocf_margin,Ev_sales
AAPL,2020,274515000000.0,57411000000.0,323888000000.0,1.3636044481554577,0.3285456701081855,0.8288446325807212,0.1733413445570981,0.0551208037697848,0.068309564140393,0.0225664427209405,0.2091361127807223,0.2938782944465694,8.408994422540154
AAPL,2021,365817000000.0,94680000000.0,351002000000.0,1.0745531195957954,0.337924000433046,1.084078886929722,0.2805790573278608,0.3325938473307469,0.0599042690744279,0.0315810166323838,0.2588179335569424,0.284399030116151,8.251345786591784
AAPL,2022,394328000000.0,99803000000.0,352755000000.0,0.8793560286267226,0.3086986718827514,1.1206368107173357,0.2836291504027668,0.077937876041846,0.0665714836379866,0.0303553457782313,0.2530964070519973,0.309770039155221,6.061754506616872
AAPL,2023,383285000000.0,96995000000.0,352583000000.0,0.9880116717592976,0.2997563694222353,1.0868122800699809,0.2750312616079099,-0.0280046053031993,0.078048971392045,0.0310820430933992,0.2530623426432028,0.2884094081427658,8.363855683823253
AAPL,2024,391035000000.0,93736000000.0,364980000000.0,0.8673125765340832,0.262469176393227,1.0898973330564703,0.2612620773367635,0.0202199407751412,0.0802229979413607,0.0258836100608252,0.2397125576994386,0.3024128274962599,10.150042953019422
MSFT,2020,143015000000.0,44281000000.0,301311000000.0,2.515765454294012,0.2231880017656176,0.4865556324814967,0.1506497217908132,0.1364557424727636,0.1347341187987274,0.0512460547407827,0.3096248645247002,0.4242561969024228,12.023750403205632
MSFT,2021,168088000000.0,61271000000.0,333779000000.0,2.0799936835218875,0.1788698510092007,0.5293359996221008,0.1929521800059834,0.175317274411775,0.1232449669220884,0.0617833956000826,0.3645173956498976,0.4565465708438437,15.203140203388196
MSFT,2022,198270000000.0,72738000000.0,364840000000.0,1.7846069708251824,0.1604018199758798,0.5676055188879776,0.2082336724308958,0.1795607062967017,0.123629394260352,0.0654697949786207,0.3668633681343622,0.449059363494225,9.60305737983376
MSFT,2023,211915000000.0,72361000000.0,411976000000.0,1.76916725076573,0.1328184166067926,0.5455989577969558,0.1863015179913905,0.0688202955565642,0.1283297548545407,0.0682248480494009,0.3414623787839464,0.4132883467427978,13.31227294486249
MSFT,2024,245122000000.0,88136000000.0,512163000000.0,1.2749549031815206,0.1136064104591702,0.5304872968243954,0.1907418689179874,0.1566996201307127,0.120389030768352,0.0868414938213029,0.3595597294408498,0.4836285604719282,13.64808759333496
NVDA,2020,10918000000.0,2796000000.0,17315000000.0,7.673766816143497,0.1473866589662142,0.713431567941974,0.1827033031659424,-0.0681119836121543,0.2591133907309031,,0.2560908591317091,0.4360688770837149,
NVDA,2021,16675000000.0,4332000000.0,28791000000.0,4.090445859872611,0.263867180716196,0.7233331887389928,0.1879148050145317,0.5272943762593881,0.2353223388305847,,0.2597901049475262,0.3491454272863568,1.5908390363534055
NVDA,2022,26914000000.0,9752000000.0,44187000000.0,6.650288350634371,0.287098015253355,0.7375921510592234,0.2672586258872537,0.6140329835082459,0.1957345619380248,0.0058388213728019,0.3623393029649996,0.3384112357880657,2.0916769683405136
NVDA,2023,26974000000.0,4368000000.0,41182000000.0,3.515617857687033,0.2878684862318488,0.6319389942484976,0.1023322283264416,0.0022293230289068,0.2720768147104619,0.0090816376086639,0.1619337139467635,0.2091273077778601,5.1148288888875415
NVDA,2024,60922000000.0,29760000000.0,65728000000.0,4.171291505973097,0.1647395326192794,1.1396875876905808,0.5567299597792535,1.2585452658115222,0.1423951938544368,0.0025864167478091,0.4884934834706674,0.4610813827517153,5.777111887137382
AVGO,2020,23888000000.0,,75933000000.0,1.8670538377020875,0.5298750214004452,0.3331055736059013,,0.0571314776297738,0.2079705291359678,0.0060974806737518,,0.504897856664434,3.2593352555909254
AVGO,2021,27450000000.0,,75570000000.0,2.640662314918006,0.5279872965462485,0.3623690619987723,,0.1491125251172136,0.1768306010928961,0.005862114595739,,0.5014207650273224,3.3207722787081964
AVGO,2022,33203000000.0,,73249000000.0,2.6239364719228586,0.0053106527051563,0.4462199047164676,,0.2095810564663023,0.1481492636207571,0.0057884749279853,,0.5040508387796283,
AVGO,2023,35819000000.0,,72861000000.0,2.8152599594868333,0.00492719012915,0.4903018273903223,,0.0787880613197602,0.1466540104413858,0.0062035931431081,,0.5048996342723135,
AVGO,2024,51574000000.0,5895000000.0,165645000000.0,1.1735641133137689,0.0069002988318391,0.4324754932789951,0.049432718673744,0.4398503587481504,0.1805173149261255,0.0033082797548975,0.1143017799666498,0.3870554930779075,
TSM,2020,,,,,,,,,,,,,
TSM,2021,,,,,,,,,,,,,
TSM,2022,,,,,,,,,,,,,
TSM,2023,,,,,,,,,,,,,
TSM,2024,,,,,,,,,,,,,
ORCL,2020,39068000000.0,10135000000.0,115438000000.0,3.031395348837209,0.0335331519950103,0.3485926646352617,0.0904317256086407,-0.0110869235052903,0.1552933346984744,0.0135483982743983,0.2594194737380976,0.3363110474045254,4.637222271552083
ORCL,2021,40479000000.0,13746000000.0,131107000000.0,2.299577884456216,0.0789431533022645,0.3283700744286033,0.1115090551420633,0.0361165147947169,0.1612441018799871,0.0162844089179067,0.3395834877343808,0.39247511055115,5.927988232393672
ORCL,2022,42440000000.0,6717000000.0,109297000000.0,1.6212905540464353,0.0608342406470442,0.3530723282474501,0.0558809337615014,0.048444872650016,0.1700989632422243,0.0412728620181706,0.1582704995287464,0.2247643732327992,4.823096860135128
ORCL,2023,49954000000.0,8503000000.0,134384000000.0,0.9096578605456908,0.0599848196213834,0.4099950344918151,0.0697879604893282,0.1770499528746465,0.1726188093045602,0.0647026431718061,0.1702165992713296,0.3436161268366897,5.669125924379787
ORCL,2024,52961000000.0,10467000000.0,140976000000.0,0.7150012680699974,0.1199140279196459,0.3846673445671121,0.0760241138872748,0.0601953797493694,0.1683314136817658,0.0487033253887186,0.1976359962991635,0.3525802005249145,9.10736247923945
SAP,2020,,,,,,,,,,,,,
SAP,2021,,,,,,,,,,,,,
SAP,2022,,,,,,,,,,,,,
SAP,2023,,,,,,,,,,,,,
SAP,2024,,,,,,,,,,,,,
ASML,2020,,,,,,,,,,,,,
ASML,2021,,,,,,,,,,,,,
ASML,2022,,,,,,,,,,,,,
ASML,2023,,,,,,,,,,,,,
ASML,2024,,,,,,,,,,,,,
CRM,2020,21252000000.0,4072000000.0,66301000000.0,1.2347134476534296,0.0831812491515965,0.4380139739071291,0.0839258847049609,0.6000602318927872,0.1693017127799736,0.0107087374247748,0.191605495953322,0.2259081498211933,9.375417487789885
CRM,2021,21252000000.0,4072000000.0,66301000000.0,1.2347134476534296,0.0831812491515965,0.3205381517624168,0.061416871540399,0.0,0.1693017127799736,0.0107087374247748,0.191605495953322,0.2259081498211933,10.86490784282212
CRM,2022,26492000000.0,1444000000.0,95209000000.0,1.04874242702405,0.139640160068901,0.3280539904649867,0.0178812457432976,0.2465650291737248,0.1685414464744073,0.0075308006596015,0.0545070209874679,0.2264834667069304,5.033356548633601
CRM,2023,31352000000.0,208000000.0,98849000000.0,1.0194662237843266,0.1245940778358911,0.3231198919910542,0.0021436890001958,0.1834516080326136,0.1612337330951773,0.0080729193011563,0.0066343454963,0.2268116866547588,8.606301913975635
CRM,2024,34857000000.0,4136000000.0,99823000000.0,1.0917351958244152,0.1109063041583603,0.3508999758395748,0.0416364661351373,0.1117951007910181,0.140746478469174,0.0073730502990292,0.118656224000918,0.2935995639326391,9.976699264836734
PLTR,2020,1092673000.0,-1166391000.0,2690504000.0,3.7385608034142455,0.1589951176433857,,,,0.5131086793578683,0.0045478467974773,-1.067465746842834,-0.2714517518049773,27.441180229768346
PLTR,2021,1541889000.0,-520379000.0,3247450000.0,4.33785665264271,0.1287542533372338,0.519333426968279,-0.1752721560321956,0.4111165920636823,0.2513066764209356,0.003888281574774,-0.337494462960693,0.2165207741932136,22.036080912833626
PLTR,2022,1905871000.0,-373705000.0,3461239000.0,5.173269086523988,0.0590265508969476,0.568179863457674,-0.1114092485133831,0.2360623884079852,0.1887215871378493,0.0115643560008424,-0.1960809519636953,0.1173935696592266,
PLTR,2023,2225012000.0,209825000.0,4522425000.0,5.547611451734409,0.0387438155414407,0.5573911928157297,0.0525635848402437,0.1674515221649314,0.1818525023685265,0.003342012305345,0.0943028621868106,0.3200805209140445,
PLTR,2024,2865507000.0,462190000.0,6340884000.0,5.958013810995384,0.0307884515786757,0.527556935000192,0.0850919365360959,0.2878613688375613,0.1772384433191055,0.0019924666655311,0.1612943189460015,0.4026739421680003,
CSCO,2020,49301000000.0,11214000000.0,94853000000.0,1.7201452765386285,0.1607118383182398,0.5118299886839073,0.1164207925417605,-0.0501502774352651,0.1287397821545202,0.0081178244230546,0.2274598892517393,0.3128942617796799,3.901330421318051
CSCO,2021,49818000000.0,10591000000.0,97497000000.0,1.4895837300529382,0.1010184928767039,0.5179932414868729,0.1101221731219131,0.0104866027058274,0.1314585089726604,0.0070976542867985,0.2125938415833634,0.3102091613473042,4.780394257873055
CSCO,2022,51557000000.0,11812000000.0,94002000000.0,1.4320202808112326,0.1089232143996936,0.5384571198805216,0.1233635684781643,0.0349070617046047,0.1313885602343038,0.0050743601199974,0.2291056500572182,0.2565316057955273,3.8873503524605955
CSCO,2023,56998000000.0,12613000000.0,101852000000.0,1.384522022421668,0.0893256882535443,0.5820458096337068,0.1288000245080519,0.1055336811684155,0.1324783325730727,0.008335624239092,0.2212884662619741,0.3488894347170076,3.5229088534195845
CSCO,2024,53803000000.0,10320000000.0,124413000000.0,0.9082889808791642,0.2561468656812391,0.4755750999933706,0.0912204715709455,-0.0560545984069616,0.1483746259502258,0.0053852893186403,0.1918108655651172,0.2022192071074103,4.960384542074438
IBM,2020,73620000000.0,5590000000.0,155971000000.0,0.9823421706087436,0.417462220540998,0.4778083898791849,0.0362802078161456,-0.0457179151490012,0.0860228198859005,0.0167851716024132,0.0759304536810649,0.2471746807932627,2.4919576966501507
IBM,2021,57350000000.0,5743000000.0,132001000000.0,0.8786400547309557,0.4103453761713926,0.3983026127540177,0.039885822232717,-0.2209997283346916,0.113129904097646,0.0156210937795925,0.1001394943330427,0.2231211857018308,3.322820793272489
IBM,2022,60530000000.0,1639000000.0,127243000000.0,0.924234248531979,0.4176182579788279,0.4669731989939979,0.0126444585024147,0.0554489973844812,0.1084916570295721,0.0105781850475075,0.0270774822402114,0.1723938542871303,3.3516292337783153
IBM,2023,61860000000.0,7502000000.0,135241000000.0,0.9644217806693628,0.4371085691469303,0.471343015193307,0.0571615793724569,0.0219725755823558,0.1095215001616553,0.0092057881855354,0.1212738441642418,0.2252020691884901,3.6456346299884057
IBM,2024,62753000000.0,6023000000.0,137175000000.0,1.0404320801400035,0.4201057043921997,0.460714495477505,0.0442191354399154,0.0144358228257355,0.1191815530731598,0.0076398760707125,0.0959794750848565,0.2142527050499577,4.712826762380629
ACN,2020,44327039000.0,5107839000.0,37078593000.0,1.4017476677362215,0.0721549493531213,1.3257978539453117,0.1527727124858975,0.0257323999879393,0.0196406306317911,0.0161584340592427,0.1152307737045102,0.1853304932007752,
ACN,2021,50533389000.0,5906809000.0,43175843000.0,1.2519369474577635,0.062743349330782,1.2593294905218697,0.1472020562202941,0.1400127357931577,0.0221303186295302,0.0134364950326505,0.1168892313951079,0.1776082740067166,
ACN,2022,61594305000.0,6877169000.0,47263390000.0,1.2332511161014903,0.0544240478729943,1.3621147140865293,0.1520837532976424,0.2188833208871069,0.0182370107106493,0.015191419828328,0.1116526763310341,0.1549027787552761,
ACN,2023,64111745000.0,6871557000.0,51245305000.0,1.2983442535908911,0.0471364937724538,1.30164641811568,0.1395116847299621,0.0408713110733208,0.0202561480739605,0.0103067393198264,0.1071809385316216,0.1485573041257885,
ACN,2024,64896464000.0,7264787000.0,55932363000.0,1.099159011741437,0.0592808675006275,1.211007203478247,0.1355653119827164,0.0122398633822866,0.0177271599882545,0.0092345284964985,0.1119442655612176,0.1407014563998433,
NOW,2020,4519484000.0,118503000.0,8715057000.0,1.209972642210201,0.0485113293005427,0.6133317030237244,0.0160818462469212,0.3060442944055909,0.2266468915477961,0.0481152332107523,0.0262204711865336,0.3953103938414208,
NOW,2021,5896000000.0,230141000.0,10798000000.0,1.0547585370781976,0.0514910168549731,0.6043133067258503,0.0235884105704195,0.304573707971972,0.2369402985074626,0.0363030190776069,0.0390334124830393,0.3716078697421981,
NOW,2022,7245000000.0,325000000.0,13299000000.0,1.108076602830974,0.0488758553274682,0.6013196663485081,0.02697431215504,0.2287991858887381,0.2440303657694962,0.0413564929693962,0.0448585231193926,0.3758454106280193,
